ZONA_ID,NOMBRE,POLIGONO
1,Tlalpan,&-99.1967110331436#19.302404970018400 &-99.17928754530040#19.303440355691000&-99.16285464074420#19.301372491551300&-99.15666453594390#19.296836836709400&-99.15162094979960#19.298006420739200&-99.1474100816765#19.301286410450900&-99.14261623525290#19.299606363162300&-99.1347247282744#19.308293978512400&-99.11680778027510#19.301420243457100&-99.10920741083380#19.29961826313350&-99.10092916684800#19.300021049950700&-99.10136374174250#19.29520005862510&-99.10502204439370#19.293517132085300&-99.12492521522400#19.285241176214900&-99.13510705120180#19.282461436280300&-99.1410559541496#19.282528593430500&-99.14118814406970#19.27353455005050&-99.14492144041680#19.26744682514280&-99.1424031398874#19.26662489044050&-99.14236668526760#19.260234462197300&-99.13939466313950#19.25469328068090&-99.14172562521060#19.248995202168800&-99.13892150427620#19.245966329518100&-99.14038408380780#19.243594717861000&-99.14425539777830#19.244740262602100&-99.1440114871711#19.239684485878500&-99.14751983532020#19.24025920850860&-99.14445253539010#19.234524853641300&-99.14787673661580#19.234557250756800&-99.14823412722840#19.236308462179200&-99.14946506184100#19.23403188292160&-99.15068317551890#19.234688869889900&-99.15337849450630#19.225981822613500&-99.15115021097920#19.223407971054000&-99.15248051991660#19.220533831979500&-99.15351936519450#19.2218062433421&-99.15439486389090#19.220639277190000&-99.13831586910340#19.215728240793&-99.13282147073630#19.209979327359200&-99.13243119602680#19.20647905578490&-99.12931314996220#19.203003116448100&-99.13067272460790#19.191314911894100&-99.12707612661920#19.187266191755100&-99.13239455684780#19.178532218990900&-99.12995055671920#19.172246010228800&-99.13279535259650#19.154880782847200&-99.13250884312310#19.153026351903100&-99.13024431551840#19.152544168065500&-99.13240605152840#19.148611285581900&-99.14040432605230#19.15221326804040&-99.14449415158480#19.158665450532900&-99.14960840860650#19.16031287453970&-99.1524995840243#19.14211807039200&-99.16329284358530#19.117490569335900&-99.13648147623130#19.089377991707500&-99.22677778040450#19.09606000350380&-99.2786952181902#19.13170172706370&-99.28760524561720#19.146600574016300&-99.30276264364600#19.190855090785300&-99.30713553495470#19.21372846411290&-99.31624975639600#19.221501681749500&-99.31555553123240#19.22739534747630&-99.3057044308224#19.222236187452800&-99.30142787529230#19.2182207917319&-99.29670581369340#19.217763348361100&-99.29275429737180#19.21377373850880&-99.2823935774748#19.213081460472000&-99.27734058432510#19.214716005752300&-99.27420672504400#19.218152400718100&-99.27415659698290#19.221038896546300&-99.27067823460690#19.22420301366990&-99.25312935980090#19.23510026966070&-99.25035096337670#19.24569327622870&-99.24523203581120#19.25037706520900&-99.2453858237599#19.257342102788000&-99.24388825030400#19.25920067422710&-99.24723653608300#19.260277316856300&-99.24552836079710#19.262933138739900&-99.2470904598804#19.26474905879060&-99.24349136635070#19.269687064130300&-99.2449346846542#19.280070636571&-99.24195696719070#19.283008569733000&-99.24294405006300#19.2840942736038&-99.2408063862468#19.286992412095000&-99.24299671373030#19.291437317862400&-99.24138461875600#19.29401848977560&-99.23596852593720#19.294456370686400&-99.23318663083640#19.296699177907300&-99.23190460510680#19.30504231575300&-99.2277470300585#19.306963216461300&-99.22493342002740#19.310597781291200&-99.2199254401578#19.312263635990700&-99.21539464361110#19.307621090980200&-99.1967110331436#19.302404970018400
2,Xochimilco,&-99.13301433831460#19.210095007036300&-99.13831586910340#19.215728240793&-99.15439486389090#19.220639277190000&-99.15351936519450#19.2218062433421&-99.15248051991660#19.220533831979500&-99.15115021097920#19.223407971054000&-99.15337849450630#19.225981822613500&-99.15068317551890#19.234688869889900&-99.14946506184100#19.23403188292160&-99.14823412722840#19.236308462179200&-99.14787673661580#19.234557250756800&-99.14445253539010#19.234524853641300&-99.14751983532020#19.24025920850860&-99.1440114871711#19.239684485878500&-99.14425539777830#19.244740262602100&-99.14038408380780#19.243594717861000&-99.13892150427620#19.245966329518100&-99.14172562521060#19.248995202168800&-99.13939466313950#19.25469328068090&-99.14236668526760#19.260234462197300&-99.1424031398874#19.26662489044050&-99.14492144041680#19.26744682514280&-99.14118814406970#19.27353455005050&-99.1410559541496#19.282528593430500&-99.13510705120180#19.282461436280300&-99.12492521522400#19.285241176214900&-99.10136374174250#19.29520005862510&-99.09929451887800#19.320449537404700&-99.07494111304750#19.28969814609460&-99.06831062283170#19.284439265246700&-99.03731944545900#19.271705732078300&-99.02982032163760#19.262595545324700&-99.0165151217798#19.2599554448434&-99.00704477214090#19.251605876000900&-99.01256527778030#19.24473403931390&-99.01391692536550#19.245111151219000&-99.01548982633320#19.240856981297200&-99.03019303874120#19.223632841324400&-99.0909653704331#19.211019386002800&-99.0945608770395#19.211538705286400&-99.09568703104440#19.208627943278200&-99.09926941968610#19.20810514824890&-99.10174594764190#19.20480889906880&-99.10224694332290#19.200661972283700&-99.104799694825#19.198964222263000&-99.13024431551840#19.152544168065500&-99.13250884312310#19.153026351903100&-99.13279535259650#19.154880782847200&-99.12995055671920#19.172246010228800&-99.13239455684780#19.178532218990900&-99.12707612661920#19.187266191755100&-99.13067272460790#19.191314911894100&-99.12931314996220#19.203003116448100&-99.13243119602680#19.20647905578490&-99.13301433831460#19.210095007036300
3,La Magdalena Contreras,&-99.2448874107016#19.276209415701700&-99.24345877301270#19.275649195688100&-99.24461320886800#19.272902328111400&-99.2434678285231#19.26978988324660&-99.24699686412070#19.265595475193100&-99.24552836079710#19.262933138739900&-99.24723653608300#19.260277316856300&-99.24388825030400#19.25920067422710&-99.2453858237599#19.257342102788000&-99.24458507740080#19.25273263167940&-99.24800769441110#19.246733750051500&-99.25035096337670#19.24569327622870&-99.25290911481860#19.235467427827800&-99.27067823460690#19.22420301366990&-99.27415659698290#19.221038896546300&-99.27420672504400#19.218152400718100&-99.27734058432510#19.214716005752300&-99.2823935774748#19.213081460472000&-99.29315136146260#19.213906667378100&-99.29670581369340#19.217763348361100&-99.30142787529230#19.2182207917319&-99.30962469590270#19.22474881770420&-99.31505655224790#19.22689780815540&-99.3153433605856#19.229196485062000&-99.32225485157670#19.232647834158800&-99.32316433179010#19.23923122079570&-99.31763653811810#19.244492041685500&-99.31536287813120#19.256358918865400&-99.30529996550730#19.257942717817900&-99.29798353851830#19.26145374695200&-99.29257879340350#19.268308394320800&-99.2861895969006#19.270680673917200&-99.28113981314920#19.280619797071500&-99.27332029219010#19.285189236928900&-99.27616895798830#19.289097907099500&-99.26973665184560#19.301176278271600&-99.27221699635150#19.30245818569510&-99.26843024175040#19.305115616401700&-99.2713416620287#19.308256919672100&-99.26953392059650#19.313558243949700&-99.26590065879710#19.313437440429500&-99.2546896429076#19.32676025811000&-99.2442294464722#19.32855968697730&-99.24032373180300#19.324421999542200&-99.2373129289905#19.324700274354600&-99.23120146030180#19.3298351904103&-99.2075151288949#19.337811123210100&-99.20867401134740#19.33597648604470&-99.20665877960880#19.33621838430390&-99.21278333037240#19.326797032575400&-99.22123227886740#19.320095604159400&-99.2204718040255#19.311322682018000&-99.22493342002740#19.310597781291200&-99.2277470300585#19.306963216461300&-99.23190460510680#19.30504231575300&-99.23330120799680#19.296595181553800&-99.24256588275050#19.292483013284400&-99.24276159475240#19.289360065854300&-99.2408063862468#19.286992412095000&-99.24294405006300#19.2840942736038&-99.24195696719070#19.283008569733000&-99.24491293172430#19.28013731236170&-99.2448874107016#19.276209415701700
4,Azcapotzalco,&-99.15718110621090#19.50284888316680&-99.1431181269405#19.46506268586540&-99.15055405158390#19.462940418629300&-99.15865070110010#19.463924958549800&-99.16371277378950#19.456434775836200&-99.1884832426999#19.460777255335500&-99.18800022814290#19.463814624542800&-99.19073111446590#19.464671440429100&-99.19095586108650#19.4706294695539&-99.20101501747750#19.473359606412200&-99.20682497656240#19.471215070586000&-99.22111507087190#19.475068475187900&-99.21016416350510#19.511139123934900&-99.20467164604260#19.515135960620200&-99.18229080647350#19.50746979832630&-99.17705041680580#19.506194905334500&-99.17304284081710#19.50858670433900&-99.15718110621090#19.50284888316680
5,Benito Juarez,&-99.14349968483090#19.35724145471900&-99.16978033508190#19.35865953668290&-99.17774193260510#19.365141458616800&-99.18371203722190#19.36171806767010&-99.19109309984510#19.363489747907700&-99.19173374696430#19.38268083218240&-99.18841323489130#19.39323015177560&-99.18905517469270#19.395590329764600&-99.15632922300870#19.40406328178320&-99.13740614837830#19.40346354556430&-99.13718232835710#19.399200322259800&-99.13094248661120#19.39895431711120&-99.13983599361720#19.35691760404170&-99.14349968483090#19.35724145471900
6,Cuauhtemoc,&-99.17438756110090#19.40452145491210&-99.18430391561480#19.407826989726200&-99.17505501892670#19.42304279488950&-99.17763620602990#19.423595700743900&-99.16578098215800#19.443648678271400&-99.16315414834060#19.45888347900390&-99.15954891164230#19.46332446186430&-99.15031399513950#19.462960119995900&-99.14174041633080#19.46581594560160&-99.13333667349800#19.46485416850970&-99.12224120790020#19.459782400756600&-99.12588902892010#19.448186958111800&-99.12307881194720#19.4424954406602&-99.12819972562540#19.41375994061430&-99.12569845710020#19.404330675650900&-99.13644192460580#19.4028106408329&-99.15632922300870#19.40406328178320&-99.17043552819570#19.3997898043978&-99.17107853777470#19.403497168994100&-99.17438756110090#19.40452145491210
7,Alvaro Obregon,&-99.18905517469270#19.395590329764600&-99.18841323489130#19.39323015177560&-99.19173374696430#19.38268083218240&-99.19109309984510#19.363489747907700&-99.18371203722190#19.36171806767010&-99.17774193260510#19.365141458616800&-99.17170610834040#19.359568262520300&-99.18055473745960#19.347235783838700&-99.18287487305550#19.34658431395830&-99.18403835252570#19.343647986116000&-99.19123595100640#19.336876994649100&-99.19805680075050#19.335484149937000&-99.19982092549560#19.333505378267900&-99.1962946995587#19.33363128500700&-99.19470419431130#19.330233498451800&-99.19498778680200#19.32184251328190&-99.20118465292220#19.311953545432900&-99.2002471268194#19.311160030938300&-99.20575217426980#19.30568187681400&-99.21592284856240#19.307881155876200&-99.2205173523798#19.313716534014800&-99.22114646818460#19.320269306501700&-99.21278333037240#19.326797032575400&-99.20665877960880#19.33621838430390&-99.20867401134740#19.33597648604470&-99.2075151288949#19.337811123210100&-99.23120146030180#19.3298351904103&-99.2373129289905#19.324700274354600&-99.24032373180300#19.324421999542200&-99.2442294464722#19.32855968697730&-99.2551757267155#19.32655930406920&-99.26590065879710#19.313437440429500&-99.26843816849120#19.314009997950100&-99.27054466728530#19.31193668177980&-99.27120364682400#19.3072188840649&-99.26843024175040#19.305115616401700&-99.27221699635150#19.30245818569510&-99.26973665184560#19.301176278271600&-99.27616895798830#19.289097907099500&-99.27332029219010#19.285189236928900&-99.28113981314920#19.280619797071500&-99.2861895969006#19.270680673917200&-99.29257879340350#19.268308394320800&-99.29798353851830#19.26145374695200&-99.30529996550730#19.257942717817900&-99.31536287813120#19.256358918865400&-99.31763653811810#19.244492041685500&-99.32266915717970#19.240306544162100&-99.32225485157670#19.232647834158800&-99.32432029139020#19.2326097938647&-99.32364317009930#19.265086664999100&-99.31738358631430#19.274870704569900&-99.31572929203000#19.282199324789500&-99.31640808373170#19.300054425264000&-99.313988873809#19.301440580005200&-99.31157186071730#19.306805132850500&-99.31015382431270#19.307578517298200&-99.30879198760780#19.3050961477346&-99.30330177800440#19.311144043007400&-99.30129000771590#19.30950947790820&-99.30003685179660#19.313972813026300&-99.301805427229#19.318304638851000&-99.30052944434520#19.322254075087100&-99.29484629180790#19.316918767926200&-99.29314347783290#19.32053104764300&-99.29057247520670#19.321454818339900&-99.29126433819640#19.329157265940000&-99.2879599121712#19.333478117646&-99.28832270217840#19.33066976104160&-99.28669857111920#19.329770836135400&-99.2874977098631#19.3311492559334&-99.2849515504796#19.33647205092850&-99.28021065652670#19.33523201063070&-99.28115624353040#19.337434076244700&-99.26841697088820#19.341889729620400&-99.25820658050460#19.349759941536000&-99.26125984357980#19.361044402689900&-99.26683311458610#19.363545277221600&-99.26507495035190#19.371745640627900&-99.26843379338480#19.368713167184100&-99.26837995216590#19.37180883621690&-99.26977801384480#19.371444356080000&-99.26997725810470#19.3731379652907&-99.26135349187670#19.37584065457450&-99.24599852329750#19.38723026902520&-99.24210905336800#19.387354618683900&-99.23760342093500#19.39356751025440&-99.19220139449920#19.40374302705540&-99.18905517469270#19.395590329764600
7,Gustavo A. Madero,&-99.1178878465872#19.590592301354100&-99.11859756186690#19.584461728001900&-99.11466172266090#19.579796309292200&-99.1118180486024#19.56872692194690&-99.10809721552020#19.564888494978000&-99.13057458998830#19.536091294999200&-99.12736766622460#19.535083906579600&-99.12800459133120#19.52453111808900&-99.11440711155970#19.511060815011300&-99.1076355159634#19.511026560677200&-99.10730429311530#19.509684994035500&-99.09739953068160#19.512631244481400&-99.06386253396490#19.49877871444570&-99.06799134225580#19.48908321073260&-99.0648528988523#19.481835964947700&-99.06327781749120#19.48126764712470&-99.06336101019340#19.478609278231000&-99.0508684205664#19.45018101237530&-99.05256431708810#19.448422160309200&-99.06228517828360#19.444790515935000&-99.08087674939270#19.450157317722000&-99.08715634090130#19.445766861831&-99.09321980174050#19.45160023080010&-99.10136629802500#19.4499424036943&-99.13333667349800#19.46485416850970&-99.1431181269405#19.46506268586540&-99.16297519679840#19.51796149437010&-99.17463071196120#19.524065035128200&-99.17136728079510#19.52718851904640&-99.17536094798960#19.530094610365900&-99.1770457348415#19.529328470585900&-99.17601146413520#19.53203604340590&-99.1591586520614#19.526903348261200&-99.15679812680720#19.52809077742130&-99.15859871891810#19.528857852194700&-99.15584724156640#19.532440476771200&-99.15851348314180#19.533921027820300&-99.15108490077040#19.544845709188700&-99.16089999879440#19.549260881156600&-99.15756897198880#19.555047393255700&-99.15809551741480#19.5573513372942&-99.15614380652150#19.56015445166270&-99.15280870412370#19.56196465695000&-99.15090062873310#19.56052035177910&-99.14680480963170#19.564635477209000&-99.1447604522456#19.57082736595160&-99.13956813018820#19.575395039410000&-99.13790438364890#19.581134711479400&-99.13376084914310#19.586243629275800&-99.12699260215240#19.58850769543620&-99.12370609832290#19.59275727996440&-99.1178878465872#19.590592301354100
8,Cuajimalpa de Morelos,&-99.25737566128120#19.401120224052300&-99.25580791104170#19.40357241875500&-99.2556835548959#19.397262706292100&-99.25962640457690#19.3943130084646&-99.25925152237270#19.392599375362500&-99.25483968066550#19.39370739391850&-99.25475424233510#19.39521675636210&-99.25255668051590#19.393524875306500&-99.24703579178660#19.394181906857000&-99.24852709773870#19.390409364282500&-99.24765261379960#19.385957016160100&-99.26135349187670#19.37584065457450&-99.27016100966470#19.372629131625700&-99.26837995216590#19.37180883621690&-99.26843379338480#19.368713167184100&-99.26507495035190#19.371745640627900&-99.26683311458610#19.363545277221600&-99.26125984357980#19.361044402689900&-99.25822587231900#19.349710175747900&-99.26841697088820#19.341889729620400&-99.28115624353040#19.337434076244700&-99.28021065652670#19.33523201063070&-99.2849515504796#19.33647205092850&-99.2874977098631#19.3311492559334&-99.28669857111920#19.329770836135400&-99.28832270217840#19.33066976104160&-99.2879599121712#19.333478117646&-99.29126433819640#19.329157265940000&-99.29057247520670#19.321454818339900&-99.29314347783290#19.32053104764300&-99.29484629180790#19.316918767926200&-99.30052944434520#19.322254075087100&-99.301805427229#19.318304638851000&-99.30003685179660#19.313972813026300&-99.30129000771590#19.30950947790820&-99.30330177800440#19.311144043007400&-99.30879198760780#19.3050961477346&-99.31015382431270#19.307578517298200&-99.31157186071730#19.306805132850500&-99.313988873809#19.301440580005200&-99.31640808373170#19.300054425264000&-99.31572929203000#19.282199324789500&-99.31738358631430#19.274870704569900&-99.32364317009930#19.265086664999100&-99.32432029139020#19.2326097938647&-99.32671959660350#19.232565570110100&-99.33082148178920#19.237935298147600&-99.34234097293770#19.241122399640200&-99.33985723772960#19.259652913049000&-99.33762984030590#19.264039968905100&-99.33915989631800#19.267697146274200&-99.34468659926640#19.26947522364520&-99.34821370612720#19.273960946382700&-99.361921907888#19.27574186760510&-99.3649242039483#19.277769253004900&-99.35358134763750#19.291934309658600&-99.3545360265048#19.293288016164600&-99.35149208885040#19.29415237986760&-99.35349778865470#19.29740184184160&-99.34998525643140#19.296837189762900&-99.35627424134150#19.302014523839300&-99.35660783935670#19.306675795172200&-99.33384207100690#19.33059040589530&-99.32827225852510#19.345202434715900&-99.32848441840010#19.35309238528480&-99.32639199540200#19.35367163514530&-99.32328580952050#19.358337662346600&-99.31813401975580#19.358156413459700&-99.32069894910890#19.360443800483400&-99.31954278840170#19.363618043823600&-99.31686155932600#19.36630652567060&-99.3153897535376#19.365888357988400&-99.31308764091010#19.370448743361700&-99.30776485654580#19.371561173208&-99.30348342257230#19.377830027162100&-99.3013090454014#19.377083823466700&-99.3012315767319#19.369700442950300&-99.29901977953130#19.367515262482000&-99.29791713812870#19.369324952393800&-99.29558729315380#19.369077286018400&-99.29061394395090#19.37502253984350&-99.28569702857#19.376439116767300&-99.28283047390000#19.381404003842900&-99.27368510255830#19.38703672091520&-99.2724324989745#19.38967841310580&-99.26956951778780#19.390383807576300&-99.2653811813831#19.398684030682600&-99.2613035267041#19.39932915892000&-99.25788424421920#19.404843197144900&-99.25737566128120#19.401120224052300
9,Miguel Hidalgo,&-99.16371277378950#19.456434775836200&-99.16578098215800#19.443648678271400&-99.17763620602990#19.423595700743900&-99.17505501892670#19.42304279488950&-99.18430391561480#19.407826989726200&-99.17107853777470#19.403497168994100&-99.17043552819570#19.3997898043978&-99.18905517469270#19.395590329764600&-99.19220139449920#19.40374302705540&-99.19761364797040#19.40309120075650&-99.22357876430860#19.395852712521400&-99.23784260601910#19.393491268485200&-99.23992904743510#19.388864064341300&-99.24765261379960#19.385957016160100&-99.24852709773870#19.390409364282500&-99.24703579178660#19.394181906857000&-99.25255668051590#19.393524875306500&-99.25475424233510#19.39521675636210&-99.25483968066550#19.39370739391850&-99.25925152237270#19.392599375362500&-99.25962640457690#19.3943130084646&-99.2556835548959#19.397262706292100&-99.2548574085608#19.404554279379500&-99.24831196572730#19.40864858381100&-99.2373047069599#19.412359619248900&-99.2308434633508#19.421706891335800&-99.22546286703730#19.42658732797130&-99.22227442149380#19.427022961613300&-99.22337833968920#19.429505066413400&-99.22681802212180#19.43133824401920&-99.22617135987940#19.43396533852330&-99.22810971076960#19.43820981619400&-99.21813294873190#19.444111833574800&-99.220148717263#19.446116353902000&-99.21997277684270#19.45288013506650&-99.21528512867330#19.456223856116600&-99.21214839848250#19.467113914684500&-99.20991205153320#19.469381620911000&-99.20101501747750#19.473359606412200&-99.19141051894210#19.47076753936340&-99.19073111446590#19.464671440429100&-99.18800022814290#19.463814624542800&-99.1884832426999#19.460777255335500&-99.16371277378950#19.456434775836200
10,Iztacalco,&-99.05578648867040#19.422141081466900&-99.06084839747310#19.382588320819300&-99.06636556793850#19.38353710380730&-99.08401799062980#19.39257215598430&-99.08458373889630#19.389475278287700&-99.08880137003410#19.39038230914200&-99.0956476434717#19.379598877409800&-99.12247651535430#19.382440689617300&-99.1225339203193#19.375699513915000&-99.13548772203740#19.377186991573500&-99.13094248661120#19.39895431711120&-99.13718232835710#19.399200322259800&-99.13658765265530#19.40281181257920&-99.0980434248615#19.409137834227700&-99.07824041431460#19.407050277176600&-99.06949545640500#19.42025280045310&-99.05578648867040#19.422141081466900
11,Coyoacan,&-99.18078642228380#19.347143511050400&-99.17170610834040#19.359568262520300&-99.13427049856510#19.356540688329000&-99.13117791343190#19.35866085405940&-99.12197974597880#19.3576619228576&-99.12077736876520#19.35184147099840&-99.11557154154900#19.343264128378900&-99.11293458518990#19.335368498349400&-99.10572932511420#19.326300338579200&-99.09920703472980#19.320917013189600&-99.10092916684800#19.300021049950700&-99.10920741083380#19.29961826313350&-99.11680778027510#19.301420243457100&-99.1347247282744#19.308293978512400&-99.14261623525290#19.299606363162300&-99.1474100816765#19.301286410450900&-99.15162094979960#19.298006420739200&-99.15666453594390#19.296836836709400&-99.16226289797950#19.301277418925600&-99.17928754530040#19.303440355691000&-99.19505367047030#19.302053028680800&-99.20575217426980#19.30568187681400&-99.2002471268194#19.311160030938300&-99.20118465292220#19.311953545432900&-99.19493357496580#19.322030003527700&-99.19470419431130#19.330233498451800&-99.1962946995587#19.33363128500700&-99.19982092549560#19.333505378267900&-99.19805680075050#19.335484149937000&-99.19123595100640#19.336876994649100&-99.18403835252570#19.343647986116000&-99.18287487305550#19.34658431395830&-99.18078642228380#19.347143511050400
12,Venustiano Carranza,&-99.11690472348630#19.45782834150510&-99.11177513017070#19.453781279430000&-99.10136629802500#19.4499424036943&-99.09321980174050#19.45160023080010&-99.08715634090130#19.445766861831&-99.08087674939270#19.450157317722000&-99.06228517828360#19.444790515935000&-99.0508684205664#19.45018101237530&-99.04645882385200#19.442364636987800&-99.05578648867040#19.422141081466900&-99.06949545640500#19.42025280045310&-99.07797853699070#19.407147577265000&-99.09796675030650#19.409142917215500&-99.12569845710020#19.404330675650900&-99.12819972562540#19.41375994061430&-99.12307881194720#19.4424954406602&-99.12588902892010#19.448186958111800&-99.12224120790020#19.459782400756600&-99.11690472348630#19.45782834150510
13,Tlahuac,&-98.97892779105560#19.323930545495000&-98.97820309492110#19.325331083217000&-98.97651651474330#19.324255686147500&-98.97532368335060#19.325643496735600&-98.9663519245887#19.325671742539500&-98.96044824331300#19.32537215247090&-98.95790262286990#19.323227615942100&-98.9629658232194#19.31672738897740&-98.96477606323640#19.30688076979640&-98.96722384490910#19.30596983962440&-98.97653062569530#19.253125388859000&-98.96598686988070#19.249941007153900&-98.96858650405380#19.23221794814090&-98.940302812056#19.22323964027380&-98.9425532108355#19.215614861396300&-98.95108553483500#19.21818369998650&-98.95394833335090#19.214645847222100&-98.96269404913760#19.2141426287901&-98.96852792721930#19.21057108168320&-98.97434953308700#19.214443134555700&-98.97815003517600#19.21506830842480&-98.99055868468120#19.225778349342700&-98.9932627822685#19.224944851833700&-98.9937254154806#19.227470456824100&-98.99526391162220#19.227514914777900&-98.9957908732171#19.225038496347300&-98.99717700329620#19.227472571515600&-99.00299064865990#19.227573920563300&-99.0001037598042#19.226317577926800&-99.03019303874120#19.223632841324400&-99.01548982633320#19.240856981297200&-99.01391692536550#19.245111151219000&-99.01256527778030#19.24473403931390&-99.00704477214090#19.251605876000900&-99.0165151217798#19.2599554448434&-99.02982032163760#19.262595545324700&-99.03731944545900#19.271705732078300&-99.06896675054100#19.284955843781300&-99.06163166276790#19.292663115245000&-99.06477742711230#19.30164308293280&-99.06339963256590#19.30568499176940&-99.05987128537080#19.304440644593700&-99.05400662483940#19.311612262985800&-99.05246636258540#19.310478266868100&-99.05024295750450#19.31294125899590&-99.04885511904160#19.3118876558084&-99.0466177319435#19.314876489248600&-99.04361252036370#19.312207740874000&-99.04044249154200#19.31541473554760&-99.00135430613720#19.327133629183800&-98.97986822899980#19.326139582424700&-98.98060733492060#19.32465664568780&-98.97892779105560#19.323930545495000
14,Iztapalapa,&-99.0581328804774#19.40071958054630&-99.01957204918620#19.383256349789600&-98.99193917967470#19.367598706408000&-98.99455666701410#19.3581413255309&-98.97879332077070#19.34328927915270&-98.97432515234540#19.337026570049300&-98.96044824331300#19.32537215247090&-98.97532368335060#19.325643496735600&-98.97651651474330#19.324255686147500&-98.97820309492110#19.325331083217000&-98.97856031324470#19.32390249832140&-98.98060733492060#19.32465664568780&-98.97986822899980#19.326139582424700&-99.00135430613720#19.327133629183800&-99.04044249154200#19.31541473554760&-99.04361252036370#19.312207740874000&-99.0466177319435#19.314876489248600&-99.04885511904160#19.3118876558084&-99.05024295750450#19.31294125899590&-99.05246636258540#19.310478266868100&-99.05400662483940#19.311612262985800&-99.05987128537080#19.304440644593700&-99.06339963256590#19.30568499176940&-99.06477742711230#19.30164308293280&-99.06163166276790#19.292663115245000&-99.06915292537320#19.285085736440700&-99.07494111304750#19.28969814609460&-99.09771010522120#19.317172969772400&-99.09995387390670#19.321919624546000&-99.10572932511420#19.326300338579200&-99.11215848578760#19.3342182635566&-99.12024206450100#19.350561267122900&-99.12197974597880#19.3576619228576&-99.13117791343190#19.35866085405940&-99.13367423619820#19.356551933367300&-99.13989383075900#19.357369593567700&-99.13542468680680#19.377306248154300&-99.1225339203193#19.375699513915000&-99.12247651535430#19.382440689617300&-99.0956476434717#19.379598877409800&-99.08880137003410#19.39038230914200&-99.08458373889630#19.389475278287700&-99.08401799062980#19.39257215598430&-99.06636556793850#19.38353710380730&-99.06084839747310#19.382588320819300&-99.0581328804774#19.40071958054630
16,Milpa Alta,&-98.99717700329620#19.227472571515600&-98.9957908732171#19.225038496347300&-98.99526391162220#19.227514914777900&-98.9937254154806#19.227470456824100&-98.9932627822685#19.224944851833700&-98.99055868468120#19.225778349342700&-98.97815003517600#19.21506830842480&-98.973621405256#19.21408292697080&-98.96683776422840#19.20900655817050&-98.96722874207890#19.20625109428660&-98.96967857342840#19.204252913535400&-98.96770189151830#19.203128841053800&-98.96702583222890#19.199909853940000&-98.96769389228350#19.189743078896000&-98.95984905760780#19.17916787678870&-98.95617468287960#19.176763062936800&-98.95238564842700#19.168637616145500&-98.9673663980567#19.164438689165800&-98.95462630679030#19.149524360533300&-98.9664559396525#19.143870504285200&-98.95750747757830#19.1223832136008&-98.95906350742630#19.104277959246700&-98.96572148363270#19.08586117011890&-98.97899540513640#19.07445595351540&-98.98359448558640#19.078763251046900&-99.02899368179850#19.085368792354200&-99.04320886424230#19.07575546106130&-99.05980023296540#19.048236663823500&-99.12543312126920#19.062064718441100&-99.1353790162122#19.08929607085980&-99.16329284358530#19.117490569335900&-99.1524995840243#19.14211807039200&-99.14960840860650#19.16031287453970&-99.14449415158480#19.158665450532900&-99.14040432605230#19.15221326804040&-99.13240605152840#19.148611285581900&-99.104799694825#19.198964222263000&-99.10224694332290#19.200661972283700&-99.10174594764190#19.20480889906880&-99.09921249818420#19.208147282323100&-99.09568703104440#19.208627943278200&-99.0945608770395#19.211538705286400&-99.0909653704331#19.211019386002800&-99.03019303874120#19.223632841324400&-98.99717700329620#19.227472571515600